Title,Matched Title,Author(s),Series,Publisher,Publish Year,ISBN,OL Work Key,GB Matched Title,GB Series,GB Series #,GB Summary
The Soulforge,The Soulforge,"Margaret Weis, Tracy Hickman",,,1997,,https://openlibrary.org/works/OL15108271W,The Soulforge,,,"Chronicles the life of the dark mage, Raistlin Majere, from the time the gifted but tormented boy comes to see magic as his salvation to the Test in the Tower of High Sorcery that transforms his fate"
The Eve of the Maelstrom,The eve of the maelstrom,Jean Rabe,,,2002,,https://openlibrary.org/works/OL523405W,The Eve of the Maelstrom,,,
Tales of Uncle Trapspringer,Not Found,Not Found,,Not Found,Not Found,Not Found,Not Found,,,,
Relics and Omens,Not Found,Not Found,,Not Found,Not Found,Not Found,Not Found,,,,
The Last Thane,The Last Thane,Douglas Niles,,,1998,,https://openlibrary.org/works/OL1635389W,The Last Thane,,,"Dark dwarves...darker schemes...and rising chaos. For generations the baser clans of Thorbardin have raged against Hylar, ancestral rulers of the vast underground realm. Now, the finest Hylar army has marched away to face the Knights of Takhisis -- and the dark dwarves see their opportunity. Besieged in the Life Tree that is their fortress city, the Hylar struggle to survive. Magic and madness threaten from all sides as Theiwar, Daergar, and Klar press the onslaught with bloodthirsty frenzy. The forces of Chaos join the battle against all dwarvenkind. And hopes grow dim as the Hylar face ultimate betrayal and confront the specter of Torbardin's ultimate doom. This exciting new novel by popular Dragonlance author Douglas Niles tells the tale of the legendary dwarven kingdom during the Chaos War, the backdrop for The New York Times best-selling novel, Dragons of Summer Flame."
Spirit of the Wind,Spirit of the wind,Keith Collie,,,1982,,https://openlibrary.org/works/OL5562647W,,,,
Tears of the Night Sky,Tears of the Night Sky,"Linda Baker, Nancy Varian Berberick",,,1998,,https://openlibrary.org/works/OL29278474W,,,,
Legacy of Steel,Legacy of steel,Mary H. Herbert,,,1998,,https://openlibrary.org/works/OL4323300W,Legacy of Steel,,,Sara travels to Neraka and discovers the knights of Takhisis have plans of returning to war. She travels on to the Tomb of the Last Heroes and receives an answer which could inspire her people to survive.
The Silver Stair,The silver stair,Jean Rabe,,,1999,,https://openlibrary.org/works/OL523424W,The Silver Stair,,,"Amid the wreckage of the Chaos War, a new kind of magic arises on the world of Krynn. To study this magic, Goldmoon, Hero of the Lance, founds the Citadel of Light. Does this magic offer hope or does it spell a new doom for the inhabitants of Krynn?"
The Puppet King,The Puppet King,Douglas Niles,,,1999,,https://openlibrary.org/works/OL1635403W,The Puppet King,,,"The elven realm of Silvanesti is torn apart by threats from dragons and the Knights of Takhisis, and a rebellion led by Porthios against the elven ruler Gilthas."
The Rose and the Skull,"The Rose and the Skull (Dragonlance Bridges of Time, Vol. 4)",Jeff Crook,,,1999,,https://openlibrary.org/works/OL6039766W,The Rose and the Skull,,,"Gargantuan dragons soar over Krynn, battling for control of the lands below. On the isle of Sancrist, the weakened Knights of Solamnia ask their old enemies the Knights of Takhisis, for help. At the insistence of Lord Gunthar, the knights renew the alliance forged during the last days of the Chaos War. But when the Grand Master of the Knights of Solamnia abruptly dies, the leadership of the knights -- in fact their very existence -- is challenged. Jeff Crook's novel tells a tale of the Knights of Solamnia, the greatest knightly order on Krynn, faced with what may be their greatest challenge."
Reavers of the Blood Sea,Reavers of the Blood Sea,Richard A. Knaak,,,1999,,https://openlibrary.org/works/OL2992974W,Reavers of the Blood Sea,,,"As the Chaos War rages across the surface of Ansalan, the minotaur pirates of the Blood Sea face a terrible choice and the world around them seems to crumble."
Dezra’s Quest,"Dezra's Quest (Dragonlance Bridges of Time, Vol. 5)",Chris Pierson,,,1999,,https://openlibrary.org/works/OL5739906W,Dezra's Quest,,,"Darken Wood . . . even the name brings dread to humans. But it is home to Ansalon's centaur tribes, where they have dwelt for ages in peace under the Forestmaster's watchful eye. Now, ten years after the Summer of Chaos, strife is tearing the centaurs apart. A mad chieftain seeks to overthrow his enemies, and an even darker presence is changing the forest itself. Trephas, a brave young warrior, sets out for Solace to seek aid agasint these enemies. He finds more than he bargained for in Caramon Majere, Hero of the Lance, and his spitfire daughter Dezra. Acclaimed Dragonlance author Chris Pierson tells a tale of Ansalon's most mysterious race, the fabled centaurs."
The Odyssey of Gilthanas,The Odyssey of Gilthanas,Douglas Niles,,,1999,,https://openlibrary.org/works/OL1635399W,The Odyssey of Gilthanas,,,
Brothers in Arms,Brothers in Arms,Lois McMaster Bujold,,,1989,,https://openlibrary.org/works/OL56884W,,,,
The Siege of Mt. Nevermind,"The Siege of Mt. Nevermind (Dragonlance Chaos War, Vol. 5)",Fergus Ryan,,,1999,,https://openlibrary.org/works/OL6011956W,The Siege of Mt. Nevermind,,,"A miraculous machine . . . and a nightmare! Innova, a young gnomish recluse finds himself in a terrible situation. Tried in a gnomish court for an unfortunate accident and sentenced to spend months at the bottom of Mt. Nevermind tuning gnomeflingers, young Innova makes an incredible discovery. The whole gnomish society is changed by one machine that, unlike any other gnomish invention, makes the entire mountain run like clockwork. In the face of this, Commander Halion Khargos of the Knights of Tahkisis must fulfill his Vision, sent to him by the Dark Queen Tahkisis. He must take Mt. Nevermind. Fergus Ryan tells the amazing story of the gnomes of Mt. Nevermind during the upheval of the Chaos War. And because they're gnomes, their adventures are punctuated with two or three explosions."
Heroes and Fools,Heroes and Fools,"Margaret Weis, Tracy Hickman",,,1999,,https://openlibrary.org/works/OL15108248W,,,,
Dalamar the Dark,Dalamar the Dark,Nancy Varian Berberick,,,2000,,https://openlibrary.org/works/OL4652688W,Dalamar the Dark,,,
The Best of Tales: Volume One,"Best Known Works of Oscar Wilde - Including The Poems, Novels, Plays, Essays, Fairy Tales and Dialogues - Six Volumes in One",Oscar Wilde,,,,,https://openlibrary.org/works/OL31413606W,,,,
Dragons of a Fallen Sun,Dragons of a Fallen Sun,"Margaret Weis, Tracy Hickman",,,2000,,https://openlibrary.org/works/OL73408W,Dragons of a Fallen Sun,,,"A NEW AGE Forty years have passed since the devastating Chaos War, when the gods departed Krynn. Cruel and powerful dragons have seized control of Ansalon, dividing the continent among them and demanding tribute from the people they have enslaved. Heroes of the past have gone to their well-deserved rest. Now new heroes take their place to continue the battle against evil. Change -- for good or for ill -- comes to the world. A violent magical storm sweeps over Ansalon, bringing flood and fire, death and destruction. Out of the tumult rises a strange, mystic young woman. Her destiny is bound up with that of Krynn. For she alone knows the truth about the future, a future strangely and inextricably tied to the terrifying mystery in Krynn's past."
Rebels and Tyrants,Rebels and Tyrants,Nicholas Rzhevsky,,,2011,,https://openlibrary.org/works/OL20667008W,,,,
Downfall,Downfall,Jean Rabe,,,2000,,https://openlibrary.org/works/OL523429W,Downfall,,,"A one-time Hero of the Heart, Dhamon Grimwulf has descended into a life of crime, bitterness, and squalor, but as the dragon overlords of the Fifth Age plot to destroy their enemies, he, with the help of his former comrades, must redeem himself from his self-destructive life. Reprint."
The Clandestine Circle,"The Clandestine Circle (Dragonlance Crossroads, Vol. 1)",Mary H. Herbert,,,2000,,https://openlibrary.org/works/OL4323294W,,,,
The Citadel,The Citadel,A. J. Cronin,,,1937,,https://openlibrary.org/works/OL4189809W,,,,
Children of the Plains,"Children of the Plains (Dragonlance Barbarians, Vol. 1)",Paul B. Thompson,,,2000,,https://openlibrary.org/works/OL14935353W,Children of the Plains,,,"From the mists of Krynn's earliest history came the Barbarians. A young brother and sister escape a pack of predators and strike out on their own, their lives taking parallel courses linked to the destiny of different tribes. But dark powers watch the rise of civilization with cold calculation and deadly intent."
Bertrem’s Guide to the Age of Mortals,Bertrem's Guide to the Age of Mortals,Paul B. Thompson,,,2000,,https://openlibrary.org/works/OL14935350W,Bertrem's Guide to the Age of Mortals,,,"A new Dragonlance sourcebook provides a host of background information, lore, and legends about life in Krynn during the Fifth Age, covering everything from the education of kender children to the dietary habits of the dwarves of Thorbardin to weaponry, political institutions, festivals, clothing, and more. Original."
Draconian Measures,"Draconian Measures (Dragonlance Kang's Regiment, Vol. 2)",Don Perrin,,,2000,,https://openlibrary.org/works/OL8166149W,Draconian Measures,,,The regiment of draconian engineers featured in The Doom Brigade seek a safe haven for their precious cargo of young draconians. All they have to do is stay alive. Surely that shouldn't be too hard. But Commander Kang puzzles over a sinister mystery. Why are some of his men vanishing? Kang will have to use draconian measures to defeat his foes and save his race. They'd better be enough -- the fate of his entire race hangs in the balance.
The Thieves’ Guild,"The Thieves' Guild (Dragonlance Crossroads, Vol. 2)",Jeff Crook,,,2000,,https://openlibrary.org/works/OL6039767W,The Thieves' Guild,,,"Palanthas, Jewel of Ansalon, City of Seven Circles, heart of the old Solamnic empire. For three thousand years she has shone as a becaon to the world. Even now, ruled by the Knights of Neraka, she glitters in the night. Yet at the core of the gleaming city lies a dark center: the Thieves' Guild. Though the Dark Knights ruthlessly crushed the guild beneath an iron heel, a stronger, darker guild has arisen. Now it's intent on recovering its lost treasures and power. And nothing will stand in its way."
The Messenger,Messenger (The Giver #3),"Lois Lowry, David Morse, Fikret Topalli",,,2004,,https://openlibrary.org/works/OL1846138W,,,,
The Inheritance,The inheritance of loss,Kiran Desai,,,2005,,https://openlibrary.org/works/OL97945W,,,,
Dragons of a Lost Star,Dragons of a Lost Star,"Margaret Weis, Tracy Hickman",,,2001,,https://openlibrary.org/works/OL73409W,Dragons of a Lost Star,,,"A mysterious force holds Krynn in thrall. A young woman, protected by her regiment of dark-armored knights, calls upon the might of an unknown god to bring victory to her army as it sweeps across the land. The souls of the dead rob the living of their magic. A dragon overlord threatens the very land the elves hold most dear. Amidst the chaos, a band of brave and selfless heroes struggles against an immortal power that appears to thwart them at every turn. The encroaching darkness threatens to engulf all hope, all faith, all light. The War of Souls rages on. The New York Times bestselling hardcover now in paperback. This latest title from Dragonlance cocreators Margaret Weis and Tracy Hickman is the sequel to the New York Times bestselling Dragons of a Fallen Sun. This paperback version contains a preview chapter from the upcoming conclusion to the trilogy, Dragons of a Vanished Moon."
Betrayal,True Betrayals,Nora Roberts,,,1995,,https://openlibrary.org/works/OL111635W,,,,
Dragon’s Bluff,Dragon's bluff,Mary H. Herbert,,,2001,,https://openlibrary.org/works/OL4323298W,Dragon's Bluff,,,"The Crossroads Series explores previously undescribed areas of the Dragonlance world. Dragonlance fans eagerly await detailed information on any area of their favorite fantasy world. The port town of Flotsam has always been left to handle its own problems, neither asking for nor wanting help from the rest of Krynn. That is, until the young mage Ulin Majere and his traveling companion are summoned there to identify a murder victim. They quickly discover there is more to the rough seaport than just one dead body, including cagey thieves, failing magic, the Knights of Neraka, and a very greedy, very deadly red dragon."
Brother of the Dragon,Triumph of the Dragon (Brothers of the Dragon),Robin Wayne Bailey,,,1995,,https://openlibrary.org/works/OL8166093W,,,,
"""Bertrem’s Guide to the War of Souls, Vol. 1""",Not Found,Not Found,,Not Found,Not Found,Not Found,Not Found,,,,
The Search for Magic,Minecraft : the Search for Magic,Vincent Verret,,,2019,,https://openlibrary.org/works/OL29781678W,,,,
Chosen of the Gods,Chosen of the Gods,Chris Pierson,,,2001,,https://openlibrary.org/works/OL5739905W,Chosen of the Gods,,,"After the Kingpriest fortells his own death, dark forces converge on the Temple and a priestess of the god Paladine enters on a quest to find the Lightbringer, chosen by the gods to bring light to battle the coming darkness."
Conundrum,Conundrum,Jeff Crook,,,2001,,https://openlibrary.org/works/OL6039764W,Conundrum,,,"On a dark night, a Class C Submersible Deepswimmer departs Sancrist Isle with a crew of 20 gnome explorers. Armed with top-secret devices, the intrepid explorers set out on a legendary journey to subnavigate the continent of Ansalon to determine why large rocks float. Though the fate of the world does not hang in the balance, theirs certainly does. Original"
The Best of Tales: Volume Two,Fairy Tales; Selected from the Best Authors. in Two Volumes. ... of 2; Volume 2,Multiple Contributors,,,2018,,https://openlibrary.org/works/OL24365706W,,,,
The Golden Orb,The Golden Orb,Douglas Niles,,,2002,,https://openlibrary.org/works/OL1635381W,The Golden Orb,,,"Brackenrock is the isolated fortress offering humankind a place to survive in the barren realm of Icereach. Even the elven Messenger Kerrick Fallabrine makes his home there. But the ogre enemies are always near, and now have a powerful weapon made of destructive magic encased within a sphere of solid gold."
Sister of the Sword,Sister of the Sword,"Thompson, Paul B., Tonya C. Cook",,,2002,,https://openlibrary.org/works/OL4654089W,,,,
Dragons of a Vanished Moon,Dragons of a Vanished Moon,"Margaret Weis, Tracy Hickman",,,2000,,https://openlibrary.org/works/OL73426W,Dragons of a Vanished Moon,,,"In the epic conclusion of the War of Souls trilogy, a courageous band of heroes joins forces to battle an extraordinary Joan of Arc-like villainous and her powerful army of the dead, in a dramatic climax that will change the Dragonlance world forever. 200,000 first printing."
Redemption,Rhys's Redemption,Anne McAllister,,,2000,,https://openlibrary.org/works/OL4580338W,,,,
The Lioness,The Lioness,Nancy Varian Berberick,,,2002,,https://openlibrary.org/works/OL4652696W,The Lioness,,,
Divine Hammer,Divine hammer,Chris Pierson,,,2002,,https://openlibrary.org/works/OL5739908W,Divine Hammer,,,"Sorcery: A Threat to the Glory of Istar. Twenty years have passed since Beldinas the Kingpriest assumed the throne. His is a realm of unsurpassed grandeur and wealth, a testament to the mightiest age of the empire of Istar. But evil exists in this great realm, threatening the peace and sanctity of the province. Beldinas must turn to his most loyal lieutenant, Cathan, for help. Following Cathan's lead, the Knights of the Divine Hammer strive to extinguish a foul sorcery that will stop at nothing to serve its own dark ends."
"""Bertrem’s Guide to the War of Souls, Vol. 2""",Not Found,Not Found,,Not Found,Not Found,Not Found,Not Found,,,,
The Dragon Isles,The Dragon isles,Stephen D. Sullivan,,,2002,,https://openlibrary.org/works/OL6022002W,The Dragon Isles,,,
Winterheim,Winterheim,Douglas Niles,,,2003,,https://openlibrary.org/works/OL1635419W,Winterheim,,,
The Players of Gilean,The Players of Gilean,"Margaret Weis, Tracy Hickman",,,2003,,https://openlibrary.org/works/OL8571880W,,,,
A Warrior’s Journey,A warrior's journey,"Thompson, Paul B.",,,2003,,https://openlibrary.org/works/OL4654090W,A Warrior's Journey,,,"As two imperial dynasties struggle for supreme power over Ansalon, a land torn apart by the ruthless machinations of brutal warlords, corrupt wizards, and unnatural machinations, a young peasant is transformed into a extraordinary warrior who holds the ultimate fate of all Krynn in his hands. Original."
Night of Blood,Night of Blood,Richard A. Knaak,,,2003,,https://openlibrary.org/works/OL2992972W,Night of Blood,,,"New York Times–bestselling author: This follow-up to the popular War of Souls trilogy chronicles the adventures of the minotaurs as they are caught up in chaos and changing destinies The War of Souls has come to Krynn and touched every land, every race. In the minotaur empire, a terrible coup—the Night of Blood—brings power to a new ruling clan and elevates the usurper General Hotak. He owes his might to a pact forged with the ancient enemies of the horned empire and the aid of his consort. A priestess and gifted necromancer, Hotak's right-hand woman has the ghosts of Krynn under her thumb, and they are willing to do whatever it takes to see their leader's dreams of conquest come to fruition. Meanwhile, Hotak’s nephew races to find a way to put an end to his uncle’s tyranny, while a general mounts his own rebellion with a rag-tag band of minotaurs. As Krynn devolves further into chaos, the struggle for power and riches spawns the Minotaur Wars—and threatens to sweep across the entire …"
The Middle of Nowhere,Message From The Middle Of Nowhere,Gunnar Andri Thorisson,,,2017,,https://openlibrary.org/works/OL28592745W,,,,
City of the Lost,Keeper of the Lost Cities,Shannon Messenger,,,2012,,https://openlibrary.org/works/OL16361049W,,,,
Dark Thane,Dark thane,Jeff Crook,,,2003,,https://openlibrary.org/works/OL6039765W,Dark Thane,,,"Exploring the background of a key character from Margaret Weis and Tracy Hickman's ""New York Times"" bestselling War of Souls trilogy, ""Dark Thane"" describes events that directly overlap events during the War of Souls. Original."
Sacred Fire,Preaching with sacred fire,M. Simmons,,,2010,,https://openlibrary.org/works/OL8165147W,,,,
The Wizard’s Fate,The wizard's fate,"Thompson, Paul B.",,,2004,,https://openlibrary.org/works/OL4654091W,The Wizard's Fate,,,"The second title in the latest trilogy from Dragonlance author team Thompson & Cook. Writing team Thompson & Cook once again explore the history of the ancient Dragonlance world in The Wizard's Fate, the next title in their latest trilogy. Considered the historical specialists of the Dragonlance world, the authors take the story to a colorful and violent era of its history that has not been previously chronicled in any novel. The second title in the latest trilogy from Dragonlance author team Thompson & Cook. Writing team Thompson & Cook once again explore the history of the ancient Dragonlance world in The Wizard's Fate, the next title in their latest trilogy. Considered the historical specialists of the Dragonlance world, the authors take the story to a colorful and violent era of its history that has not been previously chronicled in any novel."
Tides of Blood,Tides of Blood,Richard A. Knaak,,,2004,,https://openlibrary.org/works/OL2992997W,Tides of Blood,,,"The second title in a new trilogy from best-selling author Richard A. Knaak, now in paperback."
The Search for Power,The Search for Power,Margaret Weis,,,2004,,https://openlibrary.org/works/OL16551363W,,,,
Prisoner of Haven,Prisoner of Haven,Nancy Varian Berberick,,,2004,,https://openlibrary.org/works/OL4652693W,Prisoner of Haven,,,
Wizards’ Conclave,The Wizards Conclave,Douglas Niles,,,2004,,https://openlibrary.org/works/OL1635420W,The Wizards Conclave,,,"The latest title in a series based on characters from the best-selling War of Souls trilogy. This title is the next in a series that explores the lives of key characters from Margaret Weis & Tracy Hickman's New York Times best-selling War of Souls trilogy. Wizards Conclave describes events that directly overlap events during the War of Souls, and it features two lead characters familiar to any fan of the Dragonlance world. Author Douglas Niles is well-known to and popular with both recent and long-term Dragonlance novel fans."
Flight of the Fallen,Flight of the fallen,Mary H. Herbert,,,2004,,https://openlibrary.org/works/OL4323299W,Flight of the Fallen,,,"The second title in a trilogy that explores the south of the Dragonlance world after the War of Souls. Flight of the Fallen is the second title in a trilogy that centers around Linsha Majere, the grandchild of one of the central characters of the entire Dragonlance saga. This trilogy continues to advance the story of post-War of Souls events in the Dragonlance world and introduces a major new villain to the setting."
Amber and Ashes,Amber and Ashes,Margaret Weis,,,2004,,https://openlibrary.org/works/OL15108237W,Amber and Ashes,,,A continuation of the saga of the War of Souls follows Mina as she makes her way through the dangerous chaos of postwar Krynn.
The Lake of Death,The lake of death,Jean Rabe,,,2004,,https://openlibrary.org/works/OL523414W,The Lake of Death,,,"Cursed to live as a shadow dragon, Dhamon Grimwulf risks everything in his quest to recover his humanity, following a trail that takes him from the perilous depths of the dragon overlord Sable's swamp to the shores of ruined Qualinost and reunites him with Feril, a Kagonesti druid he had once loved. Original."
Dragons in the Archives: The Best of Weis and Hickman,Not Found,Not Found,,Not Found,Not Found,Not Found,Not Found,,,,
A Hero’s Justice,A hero's justice,"Thompson, Paul B.",,,2004,,https://openlibrary.org/works/OL4654084W,A Hero's Justice,,,"As the Ergoth Empire struggles under the the dual threat of reptilian bakali invaders and bands of human nomads who are ravaging the eastern frontier, a group of powerful forces is determined to bring back Tol of Juramona, the powerful exiled champion of Ergoth, to help preserve the empire, despite the schemes of a mad emperor. Original."
Return of the Exile,Return of the Exile (Dragonlance,Mary H. Herbert,,,2005,,https://openlibrary.org/works/OL4323303W,Return of the Exile,,,"With the dragon overlords dead and the last of the dragon eggs seized by the Tarnak conquerors, Linsha Majere, herself a captive, must find a way to preserve the last of the dragon eggs and banish the dark forces before Southern Ansalon is destroyed, with her only hope being the power of the bond of knight to dragon. Original."
Lord of the Rose,Lord of the Rose,Douglas Niles,,,2005,,https://openlibrary.org/works/OL1635393W,Lord of the Rose,,,"In the years following the War of Souls, the once-powerful empire of Solamnia is threatened by intrigue and dark forces, and the kingdom's only hope lies in the mysterious Jaymes Markham, a fugitive with a price on his head who, aided by his dwarven companion and a beautiful wizard, confronts old enemies as he searches for a lost secret power. Original."
Blades of the Tiger,Blades of the tiger,Chris Pierson,,,2005,,https://openlibrary.org/works/OL5739904W,Blades of the Tiger,,,"As a tentative peace accord takes hold on Ansalon, half a world away, on the continent of Taladas, long-lost sorcery returns to the world, disaster wracks the landscape, war erupts between nations, and dark forces begin to stir, in the first volume in a new fantasy trilogy. Original."
Empire of Blood,Empire of Blood,Richard A. Knaak,,,2005,,https://openlibrary.org/works/OL2992951W,Empire of Blood,,,"Continues the adventures and exploits of the minotaurs as they become caught up in the chaos, fallout, and changing destinies that resulted from the War of Souls."
Amber and Iron,Amber and Iron,Margaret Weis,,,2005,,https://openlibrary.org/works/OL73405W,Amber and Iron,,,"When Mina escapes imprisonment to set off on a quest that will test her will, evil spreads across the land and the very soul of the world of Krynn is on the line."
Sanctuary,Sanctuary,William Faulkner,,,1931,,https://openlibrary.org/works/OL82925W,,,,
Saving Solace,"Saving Solace (Dragonlance: Champions, Vol. 1)",Douglas W. Clark,,,2006,,https://openlibrary.org/works/OL4331950W,Saving Solace,,,"Solace is booming out of control. An important temple dedication is bringing merchants, dignitaries, and a host of ne’er-do-wells and surprise visitors to the fabled tree-top town. And lately there have been a series of mysterious incidentsÉ. Palin has sworn off magic and nowadays acts as town mayor. He desperately needs a new sheriff, as the last one has just been murdered by malefactors unknown. Fortunately, Gerard has quit the knighthood after a quarrel with his father, and arrives just in time to don a sheriff’s badge. Douglas W. Clark reunites two of the most popular characters from the War of Souls epic in this new novel set in the best-selling Dragonlance¨ world."
Trail of the Black Wyrm,Trail of the Black Wyrm,Chris Pierson,,,2006,,https://openlibrary.org/works/OL5739912W,Trail of the Black Wyrm,,,"The Battle of the Run is over, but for Barreth Forlo victory is bitter. With only a dragon’s scale to aid them, Barreth and his friends must find his missing wife before it’s too late. A strange evil is stirring and a foul ritual has begun. And Forlo’s unborn child lies at the heart of it. Explore the legendary continent of Taladas, where barbarian chiefs struggle for survival against power-mad sorcerers in the uneasy aftermath of the War of Souls"
The Crown and the Sword,The Crown and the Sword,Douglas Niles,,,2005,,https://openlibrary.org/works/OL1635358W,The Crown and the Sword,,,The inhabitants of mythical Krynn battle the forces of evil in this fantasy book.
Dragons of the Dwarven Depths,"Dragons of the Dwarven Depths (Dragonlance: The Lost Chronicles, Vol. 1)","Margaret Weis, Tracy Hickman, Sandra Burr",,,2006,,https://openlibrary.org/works/OL15108310W,Dragons of the Dwarven Depths,,,"Join Tanis, Flint, Tasslehoff, and other classic Dragonlance characters on a new adventure, in this series kick-off set after Dragons of Autumn Twilight The Companions are back—and facing new challenges together and alone. While Tanis and Flint seek out a haven in the dwarven kingdom of Thorbardin, Raitlin is strangely drawn to the haunted fortress known as Skullcap. Elsewhere, Strum seeks the legendary Hammer of Kharas, and Tika embarks on a perilous journey to rescue those she loves from certain death. But it is the dwarf, Flint Fireforge, who faces the most crucial test. The heroes race against time to save the lives of those dependent on them, forcing Flint to make a difficult choice—one on which the future of mankind may rest."
The Alien Sea,"The Alien Sea (Dragonlance: Champions, Vol. 2)",Lucien Soulban,,,2006,,https://openlibrary.org/works/OL8572010W,The Alien Sea,,,"The great poison of the World Gash spreads through the oceans of Krynn, killing all in its path. Led by Apoletta of the Dargonesti and Utharne of the Dimernesti, the two great aquatic races of sea elves convene a Conclave to address the mysterious, urgent crisis. When undead attack the Conclave, Apoletta and Utharne must unite both their species, brave the storms of the World Gash and confront the ghosts of their past. What they discover will forever change their oceanic world and the fate of their two peoples."
Alliances,Star Wars - Thrawn - Alliances,Timothy Zahn,,,2018,,https://openlibrary.org/works/OL19657298W,,,,
The Measure and the Truth,The Measure And The Truth,Douglas Niles,,,2007,,https://openlibrary.org/works/OL1635364W,The Measure and the Truth,,,"This title concludes a key Dragonlance trilogy that explores the postwar era in Solamnia, a central region in the Dragonlance world. Original."
The Great White Wyrm,The Great White Wyrm,Peter Archer,,,2007,,https://openlibrary.org/works/OL7434912W,The Great White Wyrm,,,"A powerful white dragon is the target of one man's obsession, and anyone foolish enough to get between the two of them will be the first to die. Original."
Dragons of Time,Dragons of Time,"Margaret Weis, Tracy Hickman",,,2007,,https://openlibrary.org/works/OL15108312W,Dragons of Time,,,
Shadow of the Flame,Shadow of the Flame,Chris Pierson,,,2007,,https://openlibrary.org/works/OL5739910W,Shadow of the Flame,,,"Explore the far-off continent of Taladas in the exciting conclusion to The Taladas Chronicles! As war and devastation spread across the continent of Taladas, a small band of heroes has just suffered a devastating loss in a fight to determine the world's fate. Barreth Forlo, their leader, has been possessed by the spirit of Maladar the Faceless, a sorcerer-king who seeks to return to power, by whatever means necessary. Now Shedara and Hult, Forlo's companions, must push on without him, bound for the safety of the distant Rainward Isles. Pitted against their friend, they must find a way to stop Maladar from raising his ancient empire from the ashes of history --and the answer may well lie in Forlo's own son, who carries a secret even he doesn't understand."
Dragons of the Highlord Skies,Dragons of the Highlord Skies,"Margaret Weis, Tracy Hickman",,,2007,,https://openlibrary.org/works/OL15108479W,Dragons of the Highlord Skies,,,"Experience the War of the Lance as you’ve never experienced it before—from evil’s point of view—in this thrilling retelling of the events seen in Dragonlance Chronicles In the captial city of Neraka, Kitiara uth Matar and Emperor Ariakas hatch a plan to retrieve a dragon orb and thereby destroy Solamnia and the Companions in one fell swoop. But when the guardian of the dragon orb, Highlord Feal-Thas, disagrees with this plan, Kitiara must go to Ice Wall to force him to accept Ariakas' will. But her journey does not end there. Thrown out of favor, she conceives a daring plan to enlist the aid of the most feared beings on Krynn—Lord Soth and the Dark Queen. Meanwhile, Laurana and the Companions retrieve the dragon orb and take it back to Solamnia—not knowing that they bring their allies' doom with them. A fascinating retelling of the famed War of the Lance, The Lost Chronicles series is a marvelous complement to the original Chronicles trilogy as well as an exicting, accessible read for…"
The Rebellion,"Native life in South Africa, before and since the European war and the Boer rebellion","Sol T. Plaatje, Solomon Tshekisho Plaatje, Brian Willan, Bessie Head",,,1910,,https://openlibrary.org/works/OL2849786W,,,,
Destiny,"Watch Your Thoughts, for They Become Your Words. Watch Your Words, for They Become Your Actions. Watch Your Actions, for They Become Your Habits. Watch Your Habits, for They Become Your Character. Watch Your Character, for It Becomes Your Destiny. What We",Premier Publishing,,,2019,,https://openlibrary.org/works/OL30299338W,,,,
Protecting Palanthas,Protecting Palanthas,Douglas W. Clark,,,2007,,https://openlibrary.org/works/OL4331948W,Protecting Palanthas,,,Gerard uth Mondar and Galdar the minotaur must join forces in order to find a chest which threatens the safety of Palanthas.
The Secret of Pax Tharkas,The Secret of Pax Tharkas,Douglas Niles,,,2007,,https://openlibrary.org/works/OL1635407W,The Secret of Pax Tharkas,,,"In the first title of his new, post-War of the Souls trilogy, Niles explores the destiny of the fractious dwarven kingdom of Krynn. Original."
The Black Talon,"The Weird Menace Collection - Black Talons, Moon of Zambebwei, Skull-Face & Black Wind Blowing",Robert E. Howard,,,2011,,https://openlibrary.org/works/OL20435091W,,,,
The Sellsword,"Sellsword, The",Cam Banks,,,2008,,https://openlibrary.org/works/OL8953602W,The Sellsword,,,"Strike the Anvil of Time! Vanderjack is a mercenary with a troubled past and a sword haunted by ghosts. Hired to rescue a nobleman's daughter from behind enemy lines, the sellsword finds himself a pivotal player in the liberation of Nordmaar from the Red Dragon army. The Chronicler is charged to use the ancient Anvil of Time to travel back along the river of time and find the lost stories that fell between the pages of the history books of Krynn in this new series created and guided by the creative mind of Tracy Hickman. Together with a group of exciting new voices for the fantasy genre, Tracy Hickamn Presents the Bridges of Time breathes all new life into the venerable Dragonlance world."
Renegade Wizards,Renegade Wizards,Lucien Soulban,,,2009,,https://openlibrary.org/works/OL14951722W,Renegade Wizards,,,"Before the War of the Lance, magic faced and fought its own demise. The Journeyman is charged to use the ancient Anvil of Time to travel back along the river of time and find the lost stories that fell between the pages of the history books. He finds Tythonnia, a young red robe learning magic in company with Ladonna of the black robes and Par-Salian of the white. The three are sent on an easy quest to find the leader of the renegade wizards, a man named Berthal, but if it was that simple, they wouldn't need mages. Instead, what started out easy turns into betrayal - magic against sorcery, the wizards against each other, and Tythonnia against herself. When Berthal finally unleashes his final attack, everyone knows that it won't end that simply."
